compound ,detected,source,solvent,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetylphenoxy)-3-hydroxypropan-1-one",1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
9-fluorenone,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
p-hydroxybenzaldehyde or p-hydroxyacetophenone,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-acetoxy-3,5-dimethoxyphenyl)-3-hydroxy-2-(2-methoxyphenoxy)propan-1-one	",1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetylphenoxy)-3-hydroxypropan-1-one",1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 135,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
3-hydroxy-2-methyl-4-pyrone,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
undecanoic acid,1,Elderberry Leaves,chloroform,,,,,,,pivot wider,,,,,,,,,,,,,,,,,,
h-b-s-oh,1,Elderberry Leaves,chloroform,,,,,,,transpose to switch x and y,,,,,,,,,,,,,,,,,,
"octanoic acid or lignin cw 27 or 287 or 1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetyl-2,6-dimethoxy phenoxy)-3-hydroxypropan-1-one",1,Elderberry Leaves,chloroform,,,,,,,multiple corresspondence analysis,,,,,,,,,,,,,,,,,,
phenyl acetate,1,Elderberry Leaves,chloroform,,,,,,,factomineR,,,,,,,,,,,,,,,,,,
myrtenol,1,Elderberry Leaves,chloroform,,,,,,,compound ,"1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetylphenoxy)-3-hydroxypropan-1-one",9-fluorenone,p-hydroxybenzaldehyde or p-hydroxyacetophenone,"1-(4-acetoxy-3,5-dimethoxyphenyl)-3-hydroxy-2-(2-methoxyphenoxy)propan-1-one	",,,"1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetylphenoxy)-3-hydroxypropan-1-one",lignin cw 135,,,3-hydroxy-2-methyl-4-pyrone,undecanoic acid,h-b-s-oh,"octanoic acid or lignin cw 27 or 287 or 1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetyl-2,6-dimethoxy phenoxy)-3-hydroxypropan-1-one",phenyl acetate,myrtenol,lignin cw 276,"2,3-diacetoxypropioveratrone	"
lignin cw 276,1,Elderberry Leaves,chloroform,,,,,,,detected,1,1,1,1,,,1,1,,,1,1,1,1,1,1,1,1
"2,3-diacetoxypropioveratrone	",1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
d-sphingosine,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
quinidine,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
ocimene,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-acetoxy-3,5-dimethoxyphenyl)-1,3-diacetoxy-2-[4-(1-acetoxyethyl)-2-methoxyphenoxy]	",1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
estrone,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"(s)-(-)-perillaldehyde or apocynol or 1-(4-hydroxy-3,5-dimethoxyphenyl)ethanol	",1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
adrenosterone,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
adrenosterone,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
cuminaldehyde,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
gamma-terpinene,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"2-(3,4-dimethoxyphenyl)-7-methoxy-3-methyl-5-propyl-2,3-dihydrobenzofuran	",1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
g-5-o-4-g,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
3-(4-hydroxy-3-methoxyphenyl)-2-(2-methoxy-4-propylphenoxy)propan-1-ol,1,Elderberry Leaves,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
indole-3-carboxaldehyde,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
vanillic acid,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
vanillic acid,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
5-methoxytryptamine,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
daidzein,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
p-coumaraldehyde,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
sparstolonin b,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"(1e,6e)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione	",1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
sinapyl alcohol,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
p-coumaraldehyde,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
daphnetin diacetate,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
paeonol,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
ferulic acid,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
coniferyl alcohol,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
zeatin,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
dehydrovanillin,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"methyl 4-coumarate	",1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
dihydro-sinapyl alcohol,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"2-(4-hydroxy-3-prop-2-enylphenyl)-4-prop-2-enylphenol	",1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lapachol,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"dichloroisoproterenol hydrochloride	",1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
tanshinone iia,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 292,1,Elderberry Leaves,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"fluorene or 1,2,4-trichlorobenzene",1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
9-fluorenone or diphenylacetic acid,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
p-hydroxybenzaldehyde or p-hydroxyacetophenone,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 26 or 2045,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetylphenoxy)-3-hydroxypropan-1-one	",1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 135,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"guaiacylglycerol-b-guaiacyl ether	",1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 280,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"3-hydroxy-2-methyl-4-pyrone	",1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
2-methylbenzyl alcohol,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
acetylated eugenol,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"17-alpha-hydroxyprogesterone	",1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
delta-tocopherol,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 29 or 32,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 2,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 291,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
delta-tocopherol,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
(+)-limonene oxide,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
cuminaldehyde,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"cis-1,2-cyclohexanediol",1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
procyclidine,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
beta-carotene,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 282 or 296,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
g-5-o-4-g diacetate,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 3026,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
biphenyl methane or lignin cw 290 or 294,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 289,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
1-octanol,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
delta-tocopherol,1,Elderberry Berry ,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
sinapyl alcohol or lignin cw 294,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
p-coumaric acid,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
camptothecin,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
camptothecin,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
magnolin,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
papaverine hydrichloride,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 292,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
cis-fenpropimorph,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
colchicine,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
p-gluco cinnamyl alcohol,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"dihydro-coniferyl alcohol	",1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"(-)-isoproterenol hydrochloride	",1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"2-(4-hydroxy-3-prop-2-enylphenyl)-4-prop-2-enylphenol	",1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"2-(2-hydroxy-5-prop-2-enylphenyl)-4-prop-2-enylphenol	",1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
tanoshine iia,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
loperamide hydrochloride,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
ldcast,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
boldine,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
noscapine hydrochloride,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 288,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 286,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
quadrone,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 284,1,Elderberry Berry ,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
9-fluorenone or diphenylacetic acid,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
p-hydroxybenzaldehyde or p-hydroxyacetophenone,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-acetoxy-3,5-dimethoxyphenyl)-2-(4-acetylphenoxy)-3-hydroxypropan-1-one	",1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 135,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
5-pregnen-3-beta-ol-20-one,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"3-hydroxy-2-methyl-4-pyrone	",1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
2-methylbenzyl alcohol or h-b-s-oh,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
phenyl acetate,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
acetylated isoeugenol or h-b-h5t,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 3026,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"1-(4-acetoxy-3,5-dimethoxyphenyl)-1,3-diacetoxy-2-[4-(1-acetoxyethyl)-2-methoxyphenoxy] or 1-(4-acetoxy-3,5-dimethoxyphenyl)-1,3-diacetoxy-2-[4-(1-acetoxyethyl)-2,6-dimethoxyphenoxy]propane or lignin cw 33",1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
eucalyptol,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 2,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
cuminaldehyde,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
procyclidine,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
eucalyptol,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
gamma-terpinene,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
2-hexanal,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 288,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 290 or 294 or 3027 or biphenyl methane,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 282 or 296,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 289,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
g-5-o-4-g,1,Elderberry Flowers,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
paenol,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"indole-3-carboxaldehyde	",1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
ellagic acid,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
6-hydroxyflavanone,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
6-hydroxyflavanone,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"2-methylnaphthalene-1,4-dione	",1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"(1e,6e)-1,7-bis(4-hydroxy-3-methoxyphenyl)hepta-1,6-diene-3,5-dione	",1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
bakuchiol,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 294,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
p-coumaraldehyde,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"3-(4-hydroxyphenyl)propionic acid	",1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
dihydro-sinapyl alcohol,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
bakuchiol,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 290,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
vanillic acid,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
sinapaldehyde,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 31,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
bakuchiol,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
"2,3-dihydroxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-one	",1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 281,1,Elderberry Flowers,DMSO,,,,,,,,,,,,,,,,,,,,,,,,,
9-fluorenone or diphenylacetic acid,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
G-5-O-4-G diacetate,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 3026,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 130 and 265 and 295,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
methyl jasmonate,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
ergocalciferol,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 2,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
adrenosterone,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
(+)-Pulegone,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
linoleic acid,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
adrenosterone,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
cuminaldehyde,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
"cis-1,2-Cyclohexanediol",1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
21-hydroxyprogesterone,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
lignin cw 293,1,Golden Currant Berry,chloroform,,,,,,,,,,,,,,,,,,,,,,,,,
